method,offset,target
virtualinvoke r2.<android.content.Intent: android.content.Intent setData(android.net.Uri)>($r3),0,<android.content.Intent: android.content.Intent setData(android.net.Uri)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
"specialinvoke $r5.<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>($r0, $r1)",0,"<com.autostart.AutoStartActivity$5: void <init>(com.autostart.AutoStartActivity,android.view.View)>"
"virtualinvoke $r5.<com.autostart.AutoStartActivity$5: void onClick(android.content.DialogInterface,int)>(null, 0)",0,"<com.autostart.AutoStartActivity$5: void onClick(android.content.DialogInterface,int)>"
$r3 = staticinvoke <com.autostart.AutoStartActivity: android.widget.LinearLayout access$15(com.autostart.AutoStartActivity)>($r2),0,<android.app.Activity: void <clinit>()>
$r11 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>($r10),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>
$r3 = staticinvoke <com.autostart.AutoStartActivity: android.widget.LinearLayout access$15(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: android.widget.LinearLayout access$15(com.autostart.AutoStartActivity)>
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r4.<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>($r0),0,<com.autostart.AutoStartActivity$6: void <init>(com.autostart.AutoStartActivity)>
"virtualinvoke $r4.<com.autostart.AutoStartActivity$6: void onClick(android.content.DialogInterface,int)>(null, 0)",0,"<com.autostart.AutoStartActivity$6: void onClick(android.content.DialogInterface,int)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r3.<com.autostart.AutoStartActivity$4: void <init>(com.autostart.AutoStartActivity)>($r0),0,<com.autostart.AutoStartActivity$4: void <init>(com.autostart.AutoStartActivity)>
"virtualinvoke $r3.<com.autostart.AutoStartActivity$4: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>(null, $r1, 0, 0L)",0,"<com.autostart.AutoStartActivity$4: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>"
"staticinvoke <com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>($r3, 1)",0,<android.app.Activity: void <clinit>()>
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>($r3),0,<com.autostart.AutoStartActivity: java.util.ArrayList access$14(com.autostart.AutoStartActivity)>
$r4 = staticinvoke <com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>($r3),0,<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>
"staticinvoke <com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>($r3, 1)",0,"<com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r2.<com.autostart.AutoStartActivity$1: void <init>(com.autostart.AutoStartActivity)>($r0),0,<com.autostart.AutoStartActivity$1: void <init>(com.autostart.AutoStartActivity)>
virtualinvoke $r2.<com.autostart.AutoStartActivity$1: void onClick(android.view.View)>($r1),0,<com.autostart.AutoStartActivity$1: void onClick(android.view.View)>
"staticinvoke <com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>($r2, 0)",0,<android.app.Activity: void <clinit>()>
"staticinvoke <com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>($r2, 0)",0,"<com.autostart.AutoStartActivity: void access$13(com.autostart.AutoStartActivity,boolean)>"
specialinvoke r0.<java.lang.Object: void <init>()>(),0,<java.lang.Object: void <init>()>
specialinvoke $r1.<android.view.View: void <init>(android.content.Context)>(null),0,<android.view.View: void <init>(android.content.Context)>
specialinvoke $r0.<com.autostart.AutoStartActivity: void <init>()>(),0,<com.autostart.AutoStartActivity: void <init>()>
virtualinvoke $r0.<com.autostart.AutoStartActivity: void onCreate(android.os.Bundle)>(null),0,<com.autostart.AutoStartActivity: void onCreate(android.os.Bundle)>
virtualinvoke $r0.<com.autostart.AutoStartActivity: void onResume()>(),0,<com.autostart.AutoStartActivity: void onResume()>
virtualinvoke $r0.<com.autostart.AutoStartActivity: void onClick(android.view.View)>($r1),0,<com.autostart.AutoStartActivity: void onClick(android.view.View)>
virtualinvoke $r0.<com.autostart.AutoStartActivity: void onConfigurationChanged(android.content.res.Configuration)>(null),0,<com.autostart.AutoStartActivity: void onConfigurationChanged(android.content.res.Configuration)>
virtualinvoke $r0.<com.autostart.AutoStartActivity: void onPause()>(),0,<com.autostart.AutoStartActivity: void onPause()>
$r9 = new com.autostart.AutoStartActivity$OnResumeTask,0,<android.os.AsyncTask: void <clinit>()>
"staticinvoke <com.autostart.AutoStartActivity$PInfo: void access$5(com.autostart.AutoStartActivity$PInfo,java.lang.String)>(r1, $r13)",0,"<com.autostart.AutoStartActivity$PInfo: void access$5(com.autostart.AutoStartActivity$PInfo,java.lang.String)>"
"staticinvoke <com.autostart.AutoStartActivity$PInfo: void access$4(com.autostart.AutoStartActivity$PInfo,java.lang.String)>(r1, $r13)",0,"<com.autostart.AutoStartActivity$PInfo: void access$4(com.autostart.AutoStartActivity$PInfo,java.lang.String)>"
$r16 = staticinvoke <java.lang.Integer: java.lang.String toString(int)>($i0),0,<java.lang.Integer: java.lang.String toString(int)>
$r16 = staticinvoke <java.lang.Integer: java.lang.String toString(int)>($i0),0,<java.lang.Integer: java.lang.String toString(int)>
$r16 = staticinvoke <java.lang.Integer: java.lang.String toString(int)>($i0),0,<java.lang.Integer: void <clinit>()>
$r10 = newarray (java.lang.Void)[0],0,<java.lang.Void: void <clinit>()>
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r3),0,<java.lang.Integer: void <clinit>()>
r4 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>($r16),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>
r4 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r4),0,<java.lang.String: java.lang.String valueOf(java.lang.Object)>
r3 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$2(com.autostart.AutoStartActivity$PInfo)>($r16),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$2(com.autostart.AutoStartActivity$PInfo)>
r3 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r3),0,<java.lang.String: java.lang.String valueOf(java.lang.Object)>
r4 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>($r16),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$1(com.autostart.AutoStartActivity$PInfo)>
r3 = staticinvoke <com.autostart.AutoStartActivity$PInfo: java.lang.String access$2(com.autostart.AutoStartActivity$PInfo)>($r16),0,<com.autostart.AutoStartActivity$PInfo: java.lang.String access$2(com.autostart.AutoStartActivity$PInfo)>
$z0 = staticinvoke <com.autostart.AutoStartActivity$OnResumeTask: boolean access$3(com.autostart.AutoStartActivity$OnResumeTask)>($r13),0,<com.autostart.AutoStartActivity$OnResumeTask: boolean access$3(com.autostart.AutoStartActivity$OnResumeTask)>
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r3),0,<java.lang.Integer: int parseInt(java.lang.String)>
i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r3),0,<java.lang.Integer: int parseInt(java.lang.String)>
