method,offset,target
virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onResume()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void onResume()>
"virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onRequestPermissionsResult(int,java.lang.String[],int[])>(0, $r2, $r3)",0,"<org.intoorbit.spectrum.SpectrumActivity: void onRequestPermissionsResult(int,java.lang.String[],int[])>"
virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onPause()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void onPause()>
virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onSaveInstanceState(android.os.Bundle)>(null),0,<org.intoorbit.spectrum.SpectrumActivity: void onSaveInstanceState(android.os.Bundle)>
virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onStop()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void onStop()>
virtualinvoke $r0.<org.intoorbit.spectrum.SpectrumActivity: void onDestroy()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void onDestroy()>
$i0 = <android.os.Build$VERSION: int SDK_INT>,0,<android.os.Build$VERSION: void <clinit>()>
$r3 = staticinvoke <android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>(r0),0,<android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>
$r7 = new org.intoorbit.spectrum.SpectrumActivity$a,0,<b.b: void <clinit>()>
"$r4 = staticinvoke <android.widget.Toast: android.widget.Toast makeText(android.content.Context,int,int)>(r0, 2131296374, 1)",0,"<android.widget.Toast: android.widget.Toast makeText(android.content.Context,int,int)>"
$r4 = new android.content.Intent,0,<android.content.Intent: void <clinit>()>
$r1 = <c.e: c.c b>,0,<c.e: void <clinit>()>
$r13 = <d.h: d.h a>,0,<d.h: void <clinit>()>
$r12 = <d.g: d.g a>,0,<d.g: void <clinit>()>
$r11 = <d.f: d.f a>,0,<d.f: void <clinit>()>
$r10 = <d.d: d.d$b f>,0,<d.d: void <clinit>()>
